업체명,위도,경도
단테라운지,35.11661577,129.0389658
단비,35.11951694,129.0405523
한림양식당,35.11915372,129.040691
힐코모텔,35.11945996,129.0406798
만복장여관,35.11955094,129.0406791
황진이,35.11927068,129.0405475
만복장여관,35.1195509,129.0406791
만수장,35.11932041,129.0404441
갑진여인숙,35.11970507,129.0394659
유진장모텔,35.119845,129.0392501
갑진여인숙,35.11970772,129.0394599
CHORYANG38,35.12168984,129.0345615
이스튼모텔,35.11959507,129.0390441
힐모텔,35.12133226,129.0397502
신부여인숙,35.12118593,129.0392959
로얄장여관,35.11766486,129.038798
산동여관,35.11665209,129.0384699
부산숙박닷컴,35.11715373,129.0385214
필모텔,35.11782509,129.0388609
게스트하우스 싱글싱글,35.11370828,129.0368101
Inside Busan Hostel,35.11340821,129.0360857
워라밸게스트하우스,35.11317473,129.0362672
태림하우스,35.11400751,129.0366828
Elephant House,35.11344213,129.0363969
부산숙박닷컴,35.11714316,129.0385157
대원장여관,35.1165128,129.0379225
주식회사 모닝듀,35.11417796,129.0364591
정하우스,35.11460321,129.0374652
도원장여관,35.11892367,129.0390269
동신장여관,35.11892558,129.0388133
한길여인숙,35.11886264,129.0394528
르컬렉티브G7바이어반스테이,35.11645529,129.0459152
스위트모텔,35.20141838,129.0881829
꿈모텔,35.2013744,129.0880579
프린스모텔,35.20137336,129.0880551
리베모텔,35.20053444,129.087462
희망타운빌,35.20140507,129.0885514
수림모텔,35.20122752,129.0881067
명조여관,35.20568707,129.0825106
향수장여관,35.20495312,129.0826179
락모텔,35.20483979,129.0821971
COCO모텔,35.20394651,129.083671
가자2,35.20473296,129.0828039
